date,rain_mm,district,state
2000-08-11,1.9423646926879883,Cuttack,Odisha
2000-08-12,0.0,Cuttack,Odisha
2000-08-13,0.0,Cuttack,Odisha
2000-08-14,0.1391255408525467,Cuttack,Odisha
2000-08-15,4.982814788818359,Cuttack,Odisha
2000-08-16,14.073674201965332,Cuttack,Odisha
2000-08-17,3.021989107131958,Cuttack,Odisha
2000-08-18,24.870086669921875,Cuttack,Odisha
2000-08-19,1.2173010110855103,Cuttack,Odisha
2000-08-20,0.0,Cuttack,Odisha
2000-08-21,2.7437379360198975,Cuttack,Odisha
2000-08-22,15.8776216506958,Cuttack,Odisha
2000-08-23,1.8386701345443726,Cuttack,Odisha
2000-08-24,0.0,Cuttack,Odisha
2000-08-25,0.5945583581924438,Cuttack,Odisha
2000-08-26,0.46702659130096436,Cuttack,Odisha
2000-08-27,0.24346967041492462,Cuttack,Odisha
2000-08-28,8.837142944335938,Cuttack,Odisha
2000-08-29,6.221147537231445,Cuttack,Odisha
2000-08-30,2.720550298690796,Cuttack,Odisha
2000-08-31,0.7104962468147278,Cuttack,Odisha
2000-09-01,0.0,Cuttack,Odisha
2000-09-02,2.1867849826812744,Cuttack,Odisha
2000-09-03,0.0,Cuttack,Odisha
2000-09-04,0.11593794077634811,Cuttack,Odisha
2000-09-05,1.8508660793304443,Cuttack,Odisha
2000-09-06,0.0,Cuttack,Odisha
2000-09-07,4.0808258056640625,Cuttack,Odisha
2000-09-08,0.49021416902542114,Cuttack,Odisha
2000-09-09,1.0356639623641968,Cuttack,Odisha
2000-09-10,0.0,Cuttack,Odisha
2000-09-11,0.0,Cuttack,Odisha
2000-09-12,0.0,Cuttack,Odisha
2000-09-13,11.392303466796875,Cuttack,Odisha
2000-09-14,2.6551849842071533,Cuttack,Odisha
2000-09-15,0.0,Cuttack,Odisha
2000-09-16,0.0,Cuttack,Odisha
2000-09-17,1.0356639623641968,Cuttack,Odisha
2000-09-18,10.170597076416016,Cuttack,Odisha
2000-09-19,6.469051837921143,Cuttack,Odisha
2000-09-20,5.6961517333984375,Cuttack,Odisha
2000-09-21,2.256272077560425,Cuttack,Odisha
2000-09-22,0.8308569192886353,Cuttack,Odisha
2000-09-23,0.0,Cuttack,Odisha
2000-09-24,0.4173765778541565,Cuttack,Odisha
2000-09-25,0.0,Cuttack,Odisha
2000-09-26,0.0,Cuttack,Odisha
2000-09-27,1.424267292022705,Cuttack,Odisha
2000-09-28,0.0,Cuttack,Odisha
2000-09-29,0.0,Cuttack,Odisha
2000-09-30,0.0,Cuttack,Odisha
2000-10-01,0.0,Cuttack,Odisha
2000-10-02,0.0,Cuttack,Odisha
2000-10-03,0.0,Cuttack,Odisha
2000-10-04,0.0,Cuttack,Odisha
2000-10-05,0.0,Cuttack,Odisha
2000-10-06,0.0,Cuttack,Odisha
2000-10-07,5.6961517333984375,Cuttack,Odisha
2000-10-08,0.0,Cuttack,Odisha
2000-10-09,0.0,Cuttack,Odisha
2000-10-10,3.106991767883301,Cuttack,Odisha
2000-10-11,14.1747407913208,Cuttack,Odisha
2000-10-12,2.0559029579162598,Cuttack,Odisha
2000-10-13,2.9872076511383057,Cuttack,Odisha
2000-10-14,0.0,Cuttack,Odisha
2000-10-15,0.0,Cuttack,Odisha
2000-10-16,0.0,Cuttack,Odisha
2000-10-17,3.3593826293945312,Cuttack,Odisha
2000-10-18,0.24346967041492462,Cuttack,Odisha
2000-10-19,0.0,Cuttack,Odisha
2000-10-20,0.1391255408525467,Cuttack,Odisha
2000-10-21,0.0,Cuttack,Odisha
